dup_group,group_size,row_index,Catalog,FIRST_ID,RA,Dec,z,Flux_FIRST_1400MHz,Host_name
422,2,3449,Sasmal,J120125.7-070310,180.3572083,-7.053027778,,207.0,
423,2,3473,Lao,J120402.9+201325,181.00607,20.23235,0.02445,406.03,NGC 4061
423,2,3472,Sasmal,J120401.7+201355,181.0070833,20.23213889,,76.0,
424,2,3485,Lao,J120459.4+455941,181.24427,45.99365,0.21299,103.26,WISEA J120458.62+455937.1
424,2,6626,Mirabest,,181.244295,45.99361,0.213,,
425,2,3489,Lao,J120515.1+320428,181.31043,32.07145,0.16616,176.13,WISEA J120514.50+320417.2
425,2,6827,Mirabest,,181.31043,32.07143,0.1662,,
426,2,3498,Lao,J120649.9+272944,181.708,27.493,0.44367,79.41,WISEA J120649.92+272934.7
426,2,6879,Mirabest,,181.708155,27.493,0.4437,,
427,2,3513,Lao,J120828.9+342517,182.11946,34.41932,0.55386,79.62,SDSS J120828.67+342509.5
427,2,3512,Sasmal,J120828.5+342509,182.119,34.41927778,,80.0,
428,2,3521,Lao,J120923.9+370855,182.3502,37.14698,0.03868,101.05,DESI J120924.05+370849.1
428,2,3522,Sasmal,J120924.0+370849,182.3503333,37.14708333,,101.0,
429,2,3523,Lao,J120938.0+242040,182.40998,24.34398,0.25032,34.02,WISEA J120938.39+242038.3
429,2,3524,Sasmal,J120938.2+242038,182.4095417,24.344,,35.0,
430,2,3530,Lao,J121012.8+112113,182.54998,11.35086,0.19626,134.18,WISEA J121011.99+112103.0
430,2,6679,Mirabest,,182.54997,11.35077,0.1963,,
431,2,3533,Lao,J121028.0+481255,182.61726,48.21585,0.48159,36.72,WISEA J121028.14+481257.0
431,2,3534,Sasmal,J121028.2+481257,182.61775,48.21597222,,38.0,
432,2,3539,Lao,J121111.2+060740,182.79579,6.12892,0.13859,112.3,WISEA J121110.99+060744.1
432,2,3538,Sasmal,J121110.9+060744,182.7957917,6.128944444,0.14,36.0,
433,2,3543,Lao,J121151.1+484915,182.9629,48.81976,0.29429,142.24,WISEA J121151.09+484911.1
433,2,6534,Mirabest,,182.962815,48.81978,0.2943,,
434,2,3544,Lao,J121156.0+070741,182.98451,7.12475,0.13548,164.06,WISEA J121156.28+070729.0
434,2,3545,Sasmal,J121156.2+070729,182.9845,7.124777778,0.14,164.0,
435,2,3558,Lao,J121319.5+561253,183.32943,56.21512,0.34547,13.0,WISEA J121319.06+561254.4
435,2,3557,Sasmal,J121318.9+561254,183.3289583,56.21502778,,13.0,
436,2,3560,Lao,J121345.8-032708,183.43978,-3.45203,0.44963,25.75,WISEA J121345.54-032707.3
436,2,3559,Sasmal,J121345.4-032709,183.4392917,-3.452638889,,26.0,
437,3,3583,Lao,J121640.4+034226,184.16716,3.70854,0.08002,171.7,WISEA J121640.11+034230.7
437,3,6376,Mirabest,,184.167195,3.70872,0.08,,
437,3,3582,Sasmal,J121640.1+034231,184.1672083,3.70875,0.08,20.0,
438,2,3593,Lao,J121729.0+033635,184.38098,3.61569,0.07725,1299.34,DESI J121731.43+033656.4
438,2,3596,Sasmal,J121731.3+033656,184.3808333,3.615833333,0.08,22.0,
439,2,3615,Lao,J121943.1+043340,184.92903,4.55951,0.29457,96.78,WISEA J121942.96+043334.2
439,2,6490,Mirabest,,184.928985,4.55948,0.2946,,
440,2,3620,Lao,J122013.3+475958,185.05489,47.9964,0.29925,55.71,WISEA J122013.17+475947.0
