widx,Catalog,FIRST_ID,RA,Dec,z,FR0,FRI,FRII,WAT,NAT,HT,Confused,Double_Double,Diffuse,L_1.4GHz_log,M_{BH},alpha,NVSS_ID,Plate,Julian,Fibre,Host_name,f_name,f_Seq,Other,PosRef,Offset,f_z,Flux_FIRST_1400MHz,Flux_NVSS_1400MHz,Flux_3000MHz,Flux_150MHz,RCl,Size_rad,LAS,OA,Rc,g-r,Mr,Mstar,R_50,D_4000,C,mu_50,eta,Q,n,PCA1,PCA2,L_[OIII],HERG-LERG,Cluster_Name,zCl,f_zCl,Dc,Sep,Dl,r500,RL*500,M500,N500
62,Sasmal,J002014.1+000448,5.05908333333333,0.08,,False,True,False,False,True,False,False,False,False,,,-0.44,,,,,,,,16,EE,,,170,,,457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Lao,J002041.4-112103,5.17406,-11.34931,0.15286,False,True,False,True,False,False,False,False,False,25.49,,1.32,,,,,WISEA J002041.77-112057.5,j,,,,,s,430.78,,157.38,,,195,71,99,23.3,1.19,,,,,,,,,,,,,,WHL J002041.8-112058,0.1634,p,698,0,0,0.829,42.15,1.89,18
64,Lao,J002156.2-083320,5.48566,-8.55643,0.9228,False,False,False,True,False,False,False,False,False,26.04,,1.41,,,,,DESI J002156.56-083323.2,,,,,,p,18.61,,6.35,,,161,20,116.1,17.7,2.29,,,,,,,,,,,,,,Y21 J002156.6-083323,1.004,p,3411,0,0,0.666,49.33,2.2,11
65,Lao,J002157.2+091906,5.48833,9.31692,0.4465,False,False,True,True,False,False,False,False,False,25.56,,0.9,,,,,WISEA J002157.19+091900.8,,,,,,s,48.65,,24.59,,,183,31,123.3,15.8,1.99,,,,,,,,,,,,,,WHL J002157.2+091901,0.4465,s,1768,0,0,0.781,47.96,2.14,33
66,Lao,J002216.7+010402,5.56875,1.06815,0.53403,False,False,False,True,False,False,False,False,False,25.69,8.52,1.17,,,,,WISEA J002216.49+010405.3,,,,,,s,38.08,,15.64,,,306,47,158,62.2,1.93,-23.2,,,,,,,,,,,,,WH J002216.5+010405,0.534,s,2065,0,0,0.489,11.12,0.52,6
67,Lao,J002224.4+080220,5.60284,8.03934,0.40221,False,True,False,False,True,False,False,False,False,25.45,,1,,,,,DESI J002224.68+080221.6,,,,,,p,45.84,,21.32,,,117,21,72,23.3,1.87,,,,,,,,,,,,,,redMaPPer J002224.7+080222,0.4171,p,1665,0,0,0.778,46.63,2.08,27
68,Lao,J002318.8+021244,5.82744,2.2125,0.6106,False,False,True,True,False,False,False,False,False,26.05,8.64,1.13,,,,,SDSS J002318.58+021244.9,,,,,,s,63.63,,26.88,,,201,29,136.9,14.8,1.92,-22.52,,,,,,,,,,,,,WH J002326.6+021415,0.4166,s,1664,150,854,0.581,15.35,0.71,9
69,Lao,J002325.7+101708,5.85723,10.28558,,False,False,True,True,False,False,False,False,False,,,1.03,,,,,,,,,,,,25.12,,11.49,,,,35,159.8,46.6,,,,,,,,,,,,,,,,,,,,,,,,
70,Lao,J002336.5+041610,5.90297,4.27032,0.10909,False,True,False,True,False,False,False,False,False,24.89,,2.16,,,,,DESI J002336.71+041613.2,,,,,,p,207.54,,40.15,,,51,25,116.2,8.6,1.01,,,,,,,,,,,,,,Y21 J002336.7+041613,0.1035,s,449,0,0,0.556,14.9,0.69,6
71,Sasmal,J002346.0+071755,5.94191666666667,7.29875,0.25,False,True,False,False,True,False,False,False,False,25.1237770640082,,,,,,,,,,"1, 2, 10",2MASX,,s,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Lao,J002346.8-032835,5.94557,-3.47774,0.43045,False,True,False,True,False,False,False,False,False,25.53,9.4,0.88,,,,,DESI J002346.94-032839.9,,,,,,p,49.61,,25.34,,,139,24,103.3,15.1,1.92,-23.15,,,,,,,,,,,,,WHL J002346.9-032840,0.4234,s,1688,0,0,0.825,54.56,2.43,30
73,Lao,J002346.8+071759,5.94192,7.29874,0.25119,False,True,False,False,True,False,False,False,False,25.17,8.37,0.81,,,,,WISEA J002346.06+071755.4,f,,,,,s,74.44,,40.12,,,121,30,49.8,8.8,1.42,-23.87,,,,,,,,,,,,,AMF J002346.1+071756,0.2561,s,1068,0,0,1.015,80.93,3.56,50
74,Lao,J002436.1-080953,6.14995,-8.16405,0.44238,False,True,False,True,False,False,False,False,False,25.35,9.88,1.01,,,,,WISEA J002435.98-080950.5,,,,,,s,29.15,,13.48,,,117,20,94.1,7.7,1.9,-23.59,,,,,,,,,,,,,AMF J002436.0-080950,0.4424,s,1754,0,0,0.706,36.08,1.62,25
75,Lao,J002523.0-020216,6.34561,-2.03785,0.21697,False,False,True,True,False,False,False,False,False,24.4,8.54,0.33,,,,,WISEA J002522.94-020216.2,,,,,,s,19.31,,15.02,,,116,32,141.9,15.6,1.34,-23.28,,,,,,,,,,,,,WHL J002522.9-020216,0.217,s,914,0,0,0.803,42.64,1.91,31
76,Lao,J002528.0+030555,6.36673,3.09737,0.36232,False,True,False,True,False,False,False,False,False,25.18,8.7,1.03,,,,,SDSS J002528.01+030550.5,,,,,,s,31.28,,14.26,,,229,44,166.8,66.7,1.75,-23,,,,,,,,,,,,,AMF J002532.0+030751,0.3645,s,1476,135,708,0.762,41.67,1.87,20
77,Lao,J002603.7-064224,6.51536,-6.70856,0.42547,False,False,True,True,False,False,False,False,False,25.69,8.65,1.39,,,,,WISEA J002603.68-064230.8,,,,,,s,60.5,,20.96,,,317,55,145.6,24.7,1.67,-22.52,,,,,,,,,,,,,WH J002558.4-064240,0.7028,s,2593,80,591,0.455,15.08,0.7,6
78,Lao,J002630.1+005300,6.62686,0.88339,1.21087,False,False,True,True,False,False,False,False,False,26.3,,0.87,,,,,DESI J002630.45+005300.2,,,,,,p,25.1,,12.91,,,333,39,136.6,18.1,,,,,,,,,,,,,,,CFSFDP J002631.6+005423,0.4486,s,1776,84,499,0.495,10.47,0.49,6
79,Lao,J002632.5-110645,6.63722,-11.11319,0.61447,False,False,False,True,False,False,False,False,False,25.21,,0.43,,,,,DESI J002632.93-110647.5,,,,,,p,12.75,,9.22,,,244,35,114.8,28.3,1.84,,,,,,,,,,,,,,Y21 J002632.9-110647,0.6301,p,2372,0,0,0.724,41.88,1.88,26
80,Sasmal,J002719.1+022428,6.829625,2.40802777777778,0.13,False,False,False,True,False,False,False,False,False,24.7595715809963,,,,,,,,,,"1, 2",2MASX,,p,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Lao,J002719.3+022433,6.82955,2.40798,0.1583,False,False,False,True,False,False,False,False,False,25.02,,1.42,,,,,WISEA J002719.09+022428.7,f,,,,,s,132.31,,44.78,,,138,49,138,26.8,1.06,,,,,,,,,,,,,,AMF J002719.1+022429,0.1217,s,525,0,0,0.757,31.2,1.41,22
82,Lao,J002727.9+121330,6.86565,12.22335,1.17955,False,False,False,True,False,False,False,False,False,26.17,,0.62,,,,,DESI J002727.76+121324.1,,,,,,p,24.09,,15.03,,,263,31,123.7,23.4,,,,,,,,,,,,,,,,,,,,,,,,
83,Lao,J002750.3+094210,6.96028,9.70212,0.10737,False,False,True,True,False,False,False,False,False,24.92,,0.94,,,,,DESI J002750.47+094207.6,,,,,,p,261.29,,127.22,,,116,57,168.8,122.7,0.87,,,,,,,,,,,,,,WH J002756.1+094120,1.1321,p,3717,96,811,0.51,20.87,0.95,11
84,Lao,J002827.7-043123,7.11547,-4.52317,,False,False,True,True,False,False,False,False,False,,,1.41,,,,,,,,,,,,40.54,,13.85,,,,57,143.7,46.1,,,,,,,,,,,,,,,,,,,,,,,,
85,Lao,J002836.3+085913,7.14985,8.98745,0.56649,False,False,True,True,False,False,False,False,False,25.5,8.6,0.56,,,,,SDSS J002835.96+085914.8,,,,,,s,27.76,,18.15,,,181,27,159.5,24.9,1.89,-22.71,,,,,,,,,,,,,WHL J002836.0+085915,0.5665,s,2171,0,0,0.654,21.98,1,13
86,Lao,J002840.2+141646,7.16819,14.28133,0.1415,False,False,False,True,False,False,False,False,False,24.99,8.66,0.99,,,,,2MASS J00284036+1416527,,,,,,s,171.29,,80.75,,,198,77,159.3,71.8,,-23.27,,,,,,,,,,,,,maxBCG J002840.4+141653,0.1449,s,622,0,0,0.694,26.05,1.18,18
