RA,Dec,z,"L_rad,t",Size_rad,M_{BH},g-r,FRI,FRII,WAT,NAT,source_name,f_name,Host_name,f_z,Type,S1400MHz,S3000MHz,alpha,OA,Rc,LAS,Mr,Cluster_Name,zCl,f_zCl,Dc,Sep,Dl,r500,RL*500,M500,N500
118.12178,40.379,0.01043,22.19,6.0,,0.66,False,True,False,True,J075229.94+402245.0,,DESI J075229.23+402244.4,p,"FR-II,NAT",58.64,29.61,0.9,83.0,10.7,30,,,,,,,,,,,
118.18418,45.9493,0.05174,24.65,110.0,,,False,True,True,False,J075240.55+455636.7,,DESI J075244.21+455657.4,s,"FR-II,WAT",622.43,153.49,1.84,151.4,117.8,105,,,,,,,,,,,
118.19046,13.46332,0.29755,25.22,192.0,8.49,1.61,False,True,False,True,J075246.27+132800.0,,WISEA J075245.71+132747.9,s,"FR-II,NAT",51.03,19.4,1.27,67.0,17.1,42,-22.55,WHL J075241.7+132644,0.2991,s,1233.0,87.0,400.0,0.83,40.45,1.81,21.0
118.26398,28.54469,1.15819,26.5,212.0,,0.64,False,False,True,False,J075303.38+283243.1,,SDSS J075303.35+283240.8,s,"--,WAT",51.01,30.23,0.69,110.7,13.3,25,,,,,,,,,,,
118.27536,37.2568,0.43642,25.61,193.0,,1.15,False,True,True,False,J075306.23+371522.8,,DESI J075306.09+371524.5,p,"FR-II,WAT",59.77,33.48,0.76,153.4,51.2,33,,,,,,,,,,,
118.34949,55.53961,0.32085,25.29,125.0,,,True,False,False,True,J075324.80+553217.7,,DESI J075323.88+553222.6,p,"FR-I,NAT",54.31,25.76,0.98,68.5,8.4,26,,WHY18 J075323.9+553223,0.3209,p,1315.0,0.0,0.0,0.852,52.72,2.35,36.0
118.36743,33.8476,0.70583,26.5,303.0,,0.13,False,True,True,False,J075328.11+335050.6,,[HB89] 0750+339,s,"FR-II,WAT",147.59,78.06,0.84,149.5,22.7,41,,,,,,,,,,,
118.37046,33.58127,0.18928,24.96,203.0,8.06,1.31,True,False,True,False,J075328.64+333500.2,,WISEA J075328.91+333452.5,s,"FR-I,WAT",85.2,44.88,0.84,162.2,90.7,62,-23.01,maxBCG J075328.9+333453,0.1893,s,803.0,0.0,0.0,0.718,30.09,1.36,23.0
118.39333,36.11037,0.23333,24.54,192.0,,1.45,False,False,True,False,J075334.24+360640.6,,DESI J075334.40+360637.3,p,"--,WAT",25.66,29.52,-0.18,167.4,169.5,50,,CFSFDP J075328.1+360757,0.3922,p,1577.0,110.0,604.0,0.473,10.98,0.51,6.0
118.43883,20.13765,1.01519,25.94,272.0,,1.92,False,False,True,False,J075345.36+200822.2,,DESI J075345.32+200815.5,p,"--,WAT",20.26,13.03,0.58,151.4,28.2,33,,,,,,,,,,,
