Num,f_Num,Name,RA_hms,Dec_dms,RA,Dec,PosRef,z,f_z,F1400,F150,alpha,Lum,FR,Other
324,c,J1450+2728,14:50:22.52,+27:28:20.5,222.5938333333333,27.47236111111111,2MASX,0.12,d,86,280.0,-0.53,0.73,II,"7, 13, 15"
325,,J1452+0636,14:52:30.11,+06:36:45.0,223.1254583333333,6.6125,EE,,,20,,,,II,
326,,J1452+1707,14:52:22.84,+17:07:17.9,223.09516666666664,17.12163888888889,SDSS,0.04,d,174,,,,II,13
327,b,J1457+0232,14:57:22.66,+02:32:56.4,224.34441666666663,2.549,2MASX,0.15,d,78,110.0,-0.15,2.79,II,"1, 13, 16"
328,,J1457+3140,14:57:55.85,+31:40:57.1,224.48270833333328,31.68252777777778,EE,,,73,,,,II,
329,ab,J1459+2754,14:59:00.23,+27:54:00.8,224.7509583333333,27.900222222222222,2MASX,0.23,d,16,,,,I,"1, 13"
330,,J1501+2134,15:01:28.25,+21:34:23.8,225.36770833333333,21.57327777777778,EE,0.26,d,228,1378.0,-0.8,6.7,II,"1, 2, 9"
331,,J1504+1409,15:04:43.54,+14:09:25.8,226.18141666666665,14.157166666666669,EE,,,6,,,,,
332,,J1505+0253,15:05:50.75,+02:53:04.6,226.46145833333333,2.884611111111111,2MASX,0.05,d,42,89.0,-0.34,0.09,I,"1, 15"
333,c,J1510+0544,15:10:56.07,+05:44:41.7,227.733625,5.744916666666667,EE,,,552,7719.0,-1.18,,I,20
334,,J1511+3633,15:11:25.92,+36:33:36.0,227.858,36.56,2MASX,0.16,*,144,,,,I,"13, 16, 20"
335,,J1512+0612,15:12:54.82,+06:12:11.7,228.22841666666665,6.203250000000001,2MASX,0.17,d,28,,,,II,"1, 13, 20"
336,,J1512+1513,15:12:20.61,+15:13:51.3,228.085875,15.230916666666667,EE,,,66,266.0,-0.62,,,1
